CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
1,1,7,0,0,0,0,0,0,0,387,0
1,2,7,0,0,0,0,0,0,0,387,0
6029,3,8,30,74,74,30,12,18,0,357,74
6030,4,12,0,0,0,30,12,18,0,357,74
6030,5,13,0,0,0,30,12,18,0,357,74
6545,6,15,0,8,8,30,12,20,0,357,82
6546,7,18,0,0,0,30,12,20,0,357,82
6904,8,20,0,6,6,30,12,22,0,357,88
7383,9,20,0,8,8,30,12,24,0,357,96
7854,10,20,0,8,8,30,12,26,0,357,104
8299,11,21,0,8,8,30,12,28,0,357,112
8300,12,21,0,0,0,30,12,28,0,357,112
8898,13,22,0,8,8,30,12,30,0,357,120
9381,14,26,0,8,8,30,12,32,0,357,128
9862,15,28,0,8,8,30,12,34,0,357,136
10377,16,29,0,8,8,30,12,36,0,357,144
11013,17,29,0,8,8,30,12,38,0,357,152
11237,18,32,0,6,6,30,12,40,0,357,158
20079,19,32,69,138,138,99,54,80,0,288,296
20620,20,34,0,8,8,99,54,82,0,288,304
21185,21,35,0,8,8,99,54,84,0,288,312
21459,22,37,0,6,6,99,54,86,0,288,318
21968,23,40,1,10,10,100,56,89,0,287,328
22503,24,43,0,8,8,100,56,91,0,287,336
23039,25,43,0,8,8,100,56,93,0,287,344
23585,26,44,0,8,8,100,56,95,0,287,352
24137,27,47,0,8,8,100,56,97,0,287,360
24710,28,48,0,8,8,100,56,99,0,287,368
25273,29,50,0,10,10,100,58,102,0,287,378
28480,30,53,0,51,51,100,58,115,0,287,429
28874,31,54,1,8,8,101,59,118,0,286,437
29221,32,57,0,8,8,101,59,120,0,286,445
29599,33,62,0,8,8,101,59,122,0,286,453
29949,34,63,0,6,6,101,59,124,0,286,459
30509,35,63,0,8,8,101,59,126,0,286,467
47173,36,64,48,167,167,149,59,203,0,238,634
47536,37,64,0,8,8,149,59,205,0,238,642
48056,38,65,0,8,8,149,59,207,0,238,650
48542,39,66,0,8,8,149,59,209,0,238,658
49105,40,69,0,8,8,149,59,211,0,238,666
49673,41,71,0,8,8,149,59,213,0,238,674
50275,42,74,0,8,8,149,59,215,0,238,682
50886,43,75,0,8,8,149,59,217,0,238,690
51774,44,78,0,10,10,149,60,219,0,238,700
52375,45,80,0,8,8,149,60,221,0,238,708
53111,46,82,0,8,8,149,60,223,0,238,716
53744,47,82,0,8,8,149,60,225,0,238,724
54176,48,83,0,8,8,149,61,228,0,238,732
54573,49,83,0,6,6,149,61,230,0,238,738
59112,50,84,0,55,55,149,61,243,0,238,793
59731,51,84,0,8,8,149,61,245,0,238,801
60058,52,85,0,6,6,149,61,247,0,238,807
60558,53,85,0,8,8,149,61,249,0,238,815
61118,54,90,0,8,8,149,61,251,0,238,823
61714,55,92,0,8,8,149,61,253,0,238,831
62341,56,92,0,8,8,149,61,255,0,238,839
62770,57,94,0,8,8,149,61,257,0,238,847
63214,58,95,0,8,8,149,61,259,0,238,855
80217,59,96,18,133,133,167,61,335,0,220,988
80652,60,96,0,8,8,167,61,337,0,220,996
81346,61,98,0,8,8,167,61,339,0,220,1004
81755,62,98,0,8,8,167,61,341,0,220,1012
82382,63,99,0,8,8,167,61,343,0,220,1020
88509,64,99,0,53,53,167,61,356,0,220,1073
94579,65,100,0,53,53,167,61,369,0,220,1126
95312,66,100,0,8,8,167,61,371,0,220,1134
95961,67,102,0,8,8,167,61,373,0,220,1142
96625,68,102,0,8,8,167,61,375,0,220,1150
100921,69,104,0,53,53,167,61,388,0,220,1203
101593,70,105,0,8,8,167,61,390,0,220,1211
102229,71,106,0,8,8,167,61,392,0,220,1219
102961,72,107,0,8,8,167,61,394,0,220,1227
103675,73,109,0,8,8,167,61,396,0,220,1235
107905,74,109,0,53,53,167,61,409,0,220,1288
108635,75,110,0,8,8,167,61,411,0,220,1296
109143,76,114,0,6,6,167,61,413,0,220,1302
109863,77,116,0,8,8,167,61,415,0,220,1310
110495,78,117,0,8,8,167,61,417,0,220,1318
111286,79,118,0,8,8,167,61,419,0,220,1326
128477,80,120,0,133,133,167,61,495,0,220,1459
146675,81,121,0,133,133,167,61,571,0,220,1592
147552,82,121,0,8,8,167,61,573,0,220,1600
148298,83,121,0,8,8,167,61,575,0,220,1608
149057,84,123,0,8,8,167,61,577,0,220,1616
150123,85,123,0,8,8,167,61,579,0,220,1624
193007,86,126,138,320,320,305,143,736,2,82,1944
193641,87,127,0,8,8,305,143,738,2,82,1952
194288,88,131,0,8,8,305,143,740,2,82,1960
194882,89,134,0,8,8,305,143,742,2,82,1968
195472,90,134,0,8,8,305,143,744,2,82,1976
196093,91,135,0,8,8,305,143,746,2,82,1984
196982,92,140,0,10,10,305,144,748,2,82,1994
197707,93,140,0,8,8,305,144,750,2,82,2002
198394,94,143,0,8,8,305,144,752,2,82,2010
199157,95,143,0,8,8,305,144,754,2,82,2018
200072,96,146,0,8,8,305,145,756,2,82,2026
217034,97,148,0,133,133,305,146,833,2,82,2159
217775,98,149,0,8,8,305,146,835,2,82,2167
218891,99,150,0,10,10,305,147,837,2,82,2177
219716,100,150,0,8,8,305,147,839,2,82,2185
220626,101,151,0,8,8,305,147,841,2,82,2193
221295,102,155,0,8,8,305,147,843,2,82,2201
222045,103,158,0,8,8,305,147,845,2,82,2209
223040,104,159,0,8,8,305,147,847,2,82,2217
223860,105,160,0,8,8,305,147,849,2,82,2225
224619,106,169,0,8,8,305,147,851,2,82,2233
225429,107,170,0,8,8,305,148,853,2,82,2241
226445,108,172,0,8,8,305,148,855,2,82,2249
244671,109,174,0,133,133,305,149,932,2,82,2382
245628,110,187,0,8,8,305,149,934,2,82,2390
246642,111,193,0,8,8,305,150,937,2,82,2398
267901,112,218,0,157,157,305,150,1013,2,82,2555
269042,113,252,0,8,8,305,150,1015,2,82,2563
270110,114,258,0,8,8,305,150,1017,2,82,2571
272288,115,338,0,8,8,305,150,1019,2,82,2579
309836,116,387,0,140,140,305,156,1083,2,82,2719
311544,117,392,0,6,6,305,156,1085,2,82,2725
314226,118,433,0,8,8,305,156,1087,2,82,2733
317670,119,544,0,10,10,305,158,1090,2,82,2743
321365,120,544,0,10,10,305,160,1093,2,82,2753
325721,121,780,0,10,10,305,162,1096,2,82,2763
332270,122,1204,0,10,10,305,164,1099,2,82,2773
338640,123,1232,0,10,10,305,166,1102,2,82,2783
