Suite,AOR,LOR,COR,ROR,SOR,ORU,STD,LVR
56,0.4166666666666667,0,0.25,0.25,0,0,0.5,0.3333333333333333
54,0.4166666666666667,0,0.25,0.25,0,0,0.5,0.3333333333333333
42,0.0,0,0.25,0.3333333333333333,0,0,1.0,0.0
48,0.0,0,0.15,0.16666666666666666,0,0,0.5,0.15
43,0.0,0,0.25,0.16666666666666666,0,0,1.0,0.0
49,0.875,0,0.25,0.3,0,0,1.0,0.5
52,0.6666666666666666,0,0.25,0.3333333333333333,0,0,1.0,0.4
53,0.0,0,0.125,0.0,0,0,1.0,0.0
24,0.08333333333333333,0,0.0625,0.1,0,0,1.0,0.1
25,0.125,0,0.125,0.1111111111111111,0,0,1.0,0.1
26,0.75,0,0.25,0.3333333333333333,0,0,1.0,0.4
27,0.875,0,0.25,0.3,0,0,1.0,0.5
20,0.0,0,0.15,0.16666666666666666,0,0,0.5,0.2
21,0.0,0,0.15,0.16666666666666666,0,0,0.5,0.2
22,0.6666666666666666,0,0.25,0.3333333333333333,0,0,1.0,0.4
23,0.25,0,0.125,0.125,0,0,1.0,0.0
46,0.0,0,0.0,0.0,0,0,0.0,0.0
47,0.0,0,0.125,0.125,0,0,1.0,0.0
44,0.0,0,0.125,0.1111111111111111,0,0,1.0,0.0
45,0.0,0,0.0,0.0,0,0,1.0,0.0
28,0.875,0,0.15,0.2777777777777778,0,0,1.0,0.35
29,0.875,0,0.1875,0.2727272727272727,0,0,1.0,0.3333333333333333
40,0.0,0,0.125,0.1111111111111111,0,0,1.0,0.16666666666666666
41,0.0,0,0.0,0.0,0,0,1.0,0.0
1,0.0,0,0.0,0.0,0,0,0.0,0.0
3,0.0,0,0.0625,0.1,0,0,1.0,0.1
2,0.0,0,0.125,0.125,0,0,1.0,0.0
5,0.0,0,0.15,0.16666666666666666,0,0,0.5,0.15
4,0.0,0,0.125,0.1111111111111111,0,0,1.0,0.1
7,0.0,0,0.15,0.16666666666666666,0,0,0.5,0.2
6,0.0,0,0.15,0.16666666666666666,0,0,0.5,0.2
9,0.875,0,0.15,0.2777777777777778,0,0,1.0,0.35
8,0.875,0,0.25,0.3,0,0,1.0,0.5
51,0.875,0,0.1875,0.2727272727272727,0,0,1.0,0.3333333333333333
39,0.0,0,0.0,0.0,0,0,1.0,0.0
38,0.0,0,0.125,0.0,0,0,1.0,0.0
11,0.0,0,0.125,0.0,0,0,1.0,0.0
10,0.875,0,0.1875,0.2727272727272727,0,0,1.0,0.3333333333333333
13,0.0,0,0.125,0.1111111111111111,0,0,1.0,0.16666666666666666
12,0.0,0,0.0,0.0,0,0,1.0,0.0
15,0.0,0,0.0,0.0,0,0,0.0,0.0
14,0.6666666666666666,0,0.25,0.3333333333333333,0,0,1.0,0.4
17,0.0,0,0.0625,0.1,0,0,1.0,0.1
16,0.0,0,0.125,0.125,0,0,1.0,0.0
19,0.0,0,0.15,0.16666666666666666,0,0,0.5,0.15
18,0.0,0,0.125,0.1111111111111111,0,0,1.0,0.1
31,0.125,0,0.15,0.16666666666666666,0,0,0.5,0.15
30,0.125,0,0.15,0.16666666666666666,0,0,0.5,0.15
37,0.0,0,0.25,0.16666666666666666,0,0,1.0,0.25
36,0.0,0,0.125,0.1111111111111111,0,0,1.0,0.16666666666666666
35,0.0,0,0.25,0.3333333333333333,0,0,1.0,0.5
34,0.875,0,0.15,0.2777777777777778,0,0,1.0,0.35
33,0.125,0,0.15,0.16666666666666666,0,0,0.5,0.2
55,0.4166666666666667,0,0.25,0.25,0,0,0.5,0.3333333333333333
32,0.125,0,0.15,0.16666666666666666,0,0,0.5,0.2
57,0.4166666666666667,0,0.25,0.25,0,0,0.5,0.3333333333333333
50,0.875,0,0.15,0.2777777777777778,0,0,1.0,0.35
